product_category,mean_compound,most_common_sentiment,number_of_products,total_reviews,total_ratings
Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits,0.0,neutral,1,0,0
Electronics|Cameras&Photography|Accessories|Film,0.8898,positive,1,8,35
Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,0.9937,positive,1,8,35
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits,0.9998,positive,1,7,39
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods,0.9952000000000001,positive,2,17,81
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,0.98675,positive,2,16,75
Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,0.9981,positive,1,8,43
Electronics|Cameras&Photography|SecurityCameras|DomeCameras,0.99088,positive,5,41,185
Electronics|Cameras&Photography|VideoCameras,0.999,positive,1,8,27
Electronics|GeneralPurposeBatteries&BatteryChargers,0.9768749999999999,positive,4,38,158
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,0.9307285714285715,positive,7,61,269
Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,0.7552666666666666,positive,3,34,128
"Electronics|Headphones,Earbuds&Accessories|Adapters",0.9977,positive,1,14,74
"Electronics|Headphones,Earbuds&Accessories|Cases",0.9937,positive,1,8,31
"Electronics|Headphones,Earbuds&Accessories|Earpads",0.7264,positive,1,8,35
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",0.9761961538461539,positive,51,426,1901
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",0.99805,positive,7,57,302
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",0.99895,positive,2,9,67
Electronics|HomeAudio|Accessories|Adapters,0.9944,positive,1,13,45
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,0.9986,positive,1,13,37
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,0.9742,positive,1,8,21
Electronics|HomeAudio|Speakers|BluetoothSpeakers,0.69915,positive,6,56,222
Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,0.996,positive,1,8,35
Electronics|HomeAudio|Speakers|OutdoorSpeakers,0.98315,positive,4,22,133
Electronics|HomeAudio|Speakers|SoundbarSpeakers,0.998,positive,1,10,33
Electronics|HomeAudio|Speakers|TowerSpeakers,0.9981,positive,1,8,40
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",0.9959,positive,1,8,37
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",0.9997,positive,1,4,33
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",0.9486249999999999,positive,21,245,924
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",0.9968666666666667,positive,3,39,127
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",0.994,positive,2,26,87
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",0.9975,positive,1,13,33
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",0.8065244897959184,positive,49,381,1752
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",0.9830833333333334,positive,6,48,231
"Electronics|HomeTheater,TV&Video|Projectors",0.9991,positive,3,22,138
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",0.9573333333333333,positive,3,24,120
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",0.8717904761904762,positive,60,428,2002
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",0.9891166666666668,positive,6,44,180
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,0.9965666666666667,positive,3,28,110
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,0.007349999999999968,positive,2,16,77
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,0.973075,positive,4,38,169
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,0.99362,positive,4,34,176
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,0.9974666666666666,positive,11,85,483
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,0.77296875,positive,15,104,478
Electronics|Mobiles&Accessories|MobileAccessories|Décor,0.99254,positive,3,40,177
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,0.9928,positive,1,8,34
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",0.7377428571428571,positive,7,65,274
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,0.98355,positive,2,16,76
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,0.9995,positive,1,8,40
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,0.998,positive,1,13,42
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,0.9749,positive,1,8,39
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,0.9986600000000001,positive,3,40,198
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,0.999,positive,1,8,57
Electronics|Mobiles&Accessories|MobileAccessories|Stands,0.99321,positive,10,86,379
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,0.8697874999999999,positive,5,88,348
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,0.9907333333333335,positive,9,87,389
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,0.9791338235294118,positive,68,510,2744
Electronics|PowerAccessories|SurgeProtectors,0.999,positive,1,9,37
Electronics|WearableTechnology|SmartWatches,0.8330026315789474,positive,62,536,2642
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,0.9998,positive,1,8,39
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,0.9395,positive,1,8,28
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,0.9973,positive,1,8,33
