month,product_category,mean_price,total_qty,pct_change_qty,pct_change_price,price_elasticity
2016-05-01,Accessories,10.89,12,-0.9090909090909091,0.29181494661921725,-3.115299334811528
2016-06-01,Accessories,9.29,67,4.583333333333333,-0.14692378328741973,-31.195312499999982
2016-07-01,Accessories,11.29,0,-1.0,0.2152852529601723,-4.644999999999998
2016-09-01,Accessories,4.275714285714286,17,-0.26086956521739135,-0.03428248769863684,7.609411764705867
2016-10-01,Accessories,6.066923076923077,43,1.5294117647058822,0.4189262124444215,3.6507903284012997
2016-11-01,Accessories,7.399090909090909,76,0.7674418604651163,0.21957882361077496,3.495063175242629
2016-12-01,Accessories,5.843846153846154,56,-0.26315789473684215,-0.21019403253092905,1.2519760507383564
2017-01-01,Accessories,5.826363636363637,17,-0.6964285714285714,-0.002991611521294124,232.79378571429868
2017-02-01,Accessories,5.865,33,0.9411764705882353,0.006631299734747964,141.92941176470688
2017-03-01,Accessories,6.018571428571429,83,1.5151515151515151,0.026184386798197457,57.86469344608898
2017-04-01,Accessories,6.9025,127,0.5301204819277108,0.14686684073107048,3.609531459170013
2017-05-01,Accessories,9.056666666666667,18,-0.8582677165354331,0.3120849933598937,-2.7501088959624735
2017-06-01,Accessories,6.390000000000001,58,2.2222222222222223,-0.2944423997055575,-7.547222222222224
2017-07-01,Accessories,11.29,4,-0.9310344827586207,0.7668231611893581,-1.2141449683321608
2016-05-01,Apparel,22.902667706708268,1781,-0.3220403502093643,-0.041447521359788464,7.769833747448194
2016-06-01,Apparel,22.270417335473514,1746,-0.019651880965749546,-0.027605970593965634,0.7118706766298315
2016-07-01,Apparel,19.267974193548387,3119,0.7863688430698741,-0.13481755176373256,-5.832837288485877
2016-08-01,Apparel,23.618906732550958,2366,-0.24142353318371268,0.22581162374918584,-1.0691368724750296
2016-09-01,Apparel,25.38590769230769,1804,-0.23753169907016058,0.0748129868907732,-3.175006224747534
2016-10-01,Apparel,28.82097995545657,1288,-0.2860310421286031,0.13531413982844342,-2.1138296595702744
2016-11-01,Apparel,27.457189239332095,1677,0.3020186335403727,-0.0473193735338715,-6.3825577345014075
2016-12-01,Apparel,30.466321031048626,2270,0.35360763267740003,0.1095935845977265,3.2265358777646513
2017-01-01,Apparel,29.480876963350784,1226,-0.45991189427312773,-0.03234535822994722,14.21879117873904
2017-02-01,Apparel,30.163279411764705,1257,0.02528548123980423,0.02314729135304394,1.0923732221687834
2017-03-01,Apparel,27.37140243902439,1878,0.4940334128878281,-0.09255880087267265,-5.337508786089817
2017-04-01,Apparel,23.0109239574816,3124,0.6634717784877529,-0.1593078210463158,-4.164715668886468
2017-05-01,Apparel,21.84711241734019,2233,-0.28521126760563376,-0.05057648020965366,5.639207521428008
2017-06-01,Apparel,20.81904214559387,2019,-0.09583519928347517,-0.047057489891905946,2.0365557003489716
2017-07-01,Apparel,16.446863095238093,3552,0.7592867756315007,-0.21000865552698356,-3.6155022931135408
2016-05-01,Bags,41.46527777777778,1176,-0.07328605200945626,-0.003354881488959016,21.844602335624124
2016-06-01,Bags,39.89,1456,0.23809523809523814,-0.03799028638419022,-6.267266208193741
2016-07-01,Bags,39.81128205128205,1186,-0.18543956043956045,-0.001973375500575414,93.97074220567164
2016-08-01,Bags,33.278173076923075,1277,0.07672849915682978,-0.164101948938582,-0.46756604448096317
2016-09-01,Bags,29.38216,960,-0.24823805794831633,-0.11707412747440715,2.1203494171039807
2016-10-01,Bags,28.868478260869566,841,-0.12395833333333328,-0.01748277659404318,7.090311579887659
2016-11-01,Bags,28.05349693251534,1304,0.5505350772889417,-0.02823083783598357,-19.501195128797033
2016-12-01,Bags,30.315359116022098,1289,-0.011503067484662566,0.08062674642479783,-0.14267061483612892
2017-01-01,Bags,26.33342105263158,694,-0.4615981380915438,-0.13135051602558812,3.5142468568728034
2017-02-01,Bags,30.683965517241376,1758,1.5331412103746396,0.16520999895587196,9.279954119388051
2017-03-01,Bags,30.566645569620253,1306,-0.2571103526734926,-0.0038234936600747282,67.24487485313824
2017-04-01,Bags,36.37140625,1316,0.007656967840734996,0.18990506063737045,0.040319977861760156
2017-05-01,Bags,32.11221428571429,1269,-0.0357142857142857,-0.11710275745210463,0.30498244867455787
2017-06-01,Bags,32.49990990990991,1447,0.14026792750197004,0.01207315137928977,11.618170193954912
2017-07-01,Bags,32.97981481481481,1176,-0.18728403593642018,0.014766345698655758,-12.683167505246029
2016-05-01,Drinkware,11.51888888888889,2623,-0.19736842105263153,-0.023994642593865523,8.225520354409896
2016-06-01,Drinkware,10.822,3581,0.3652306519252764,-0.06049966239027704,-6.0369039676488
2016-07-01,Drinkware,10.067837837837837,2974,-0.1695057246579168,-0.06968787305139179,2.43235612217514
