month,product_category,mean_price_elasticity,sum_qty,sum_price,mean_price
2016-04,Accessories,2.9399713010204103,121,8.43,8.43
2016-04,Apparel,-3.5889266288069006,2431,23.892972181551976,23.892972181551976
2016-04,Bags,0.20661378128288643,1314,41.604857142857135,41.604857142857135
2016-04,Drinkware,0.555384389206743,3241,11.802075471698114,11.802075471698114
2016-04,Electronics,2.4247276804409124,588,28.293,28.293
2016-04,Fun,25.118910256410253,135,8.39,8.39
2016-04,Gift Cards,2.3571428571428568,3,108.33333333333333,108.33333333333333
2016-04,Headgear,-21.10300461919018,1312,17.583714285714283,17.583714285714283
2016-04,Lifestyle,-6.324945684952306,2656,6.91448275862069,6.91448275862069
2016-04,Notebooks & Journals,-2.915815222410888,3421,12.203793103448275,12.203793103448275
2016-04,Office,8.35015653996128,9724,4.888414634146342,4.888414634146342
2016-05,Accessories,-3.0303366256803046,14,10.89,10.89
2016-05,Apparel,5.289854005868463,1898,22.902667706708268,22.902667706708268
2016-05,Bags,4.310037535508684,1295,41.46527777777778,41.46527777777778
2016-05,Drinkware,5.079299003175669,2846,11.51888888888889,11.51888888888889
2016-05,Electronics,-1.0525870212030375,629,26.41875,26.41875
2016-05,Gift Cards,-32.50000000000001,48,58.333333333333336,58.333333333333336
2016-05,Headgear,-27.64541411759222,601,17.9284,17.9284
2016-05,Lifestyle,-5.744214092331536,1632,7.378571428571429,7.378571428571429
2016-05,Notebooks & Journals,-373.40801858491017,2151,12.215925925925925,12.215925925925925
2016-05,Office,14.313682987198185,5626,4.744487179487179,4.744487179487179
2016-06,Accessories,-24.3080357142857,64,9.29,9.29
2016-06,Apparel,4.599576150741132,1657,22.270417335473514,22.270417335473514
2016-06,Bags,-4.227863906932856,1503,39.89,39.89
2016-06,Drinkware,-3.7053806721212617,3484,10.822,10.822
2016-06,Electronics,0.5401593896629326,671,29.684545454545457,29.684545454545457
2016-06,Fun,14.805882352941142,24,8.09,8.09
2016-06,Gift Cards,-14.000000000000007,0,62.5,62.5
2016-06,Headgear,4.9400921856353275,407,16.756923076923076,16.756923076923076
2016-06,Lifestyle,-3.1478089688226407,1873,7.032424242424242,7.032424242424242
2016-06,Notebooks & Journals,-1.0044288192458994,2290,11.43,11.43
2016-06,Office,23.621963407137915,8073,4.831846153846154,4.831846153846154
2016-07,Accessories,-4.427265624999999,3,11.29,11.29
2016-07,Apparel,-5.452282421059541,2875,19.267974193548387,19.267974193548387
2016-07,Bags,134.18820989941167,1105,39.81128205128205,39.81128205128205
2016-07,Drinkware,2.5783328225887154,2858,10.067837837837837,10.067837837837837
2016-07,Electronics,-0.7547986242601895,789,22.76848484848485,22.76848484848485
2016-07,Fun,-13.40075167037862,143,5.096666666666667,5.096666666666667
2016-07,Headgear,-6.802588687884162,586,15.673548387096774,15.673548387096774
2016-07,Housewares,-22.24953617810762,680,1.8833333333333335,1.8833333333333335
2016-07,Lifestyle,-2.550172062647174,2799,5.669069767441861,5.669069767441861
2016-07,Notebooks & Journals,-2.9279097698368934,3158,9.950303030303031,9.950303030303031
2016-07,Office,4.188117070055106,4102,4.264354838709677,4.264354838709677
2016-08,Accessories,nan,22,52.38,4.365
2016-08,Apparel,74.73685940894313,2299,685.4140050709765,23.634965692102636
2016-08,Bags,27.972884377689915,1262,885.66304004329,30.540104829078967
2016-08,Drinkware,40.91218872304513,4729,266.6502802615943,9.194837250399802
2016-08,Electronics,-0.23699245742809036,1437,564.1229126706627,19.45251423002285
2016-08,Headgear,nan,368,428.76,18.641739130434782
2016-08,Housewares,nan,41,13.0,2.1666666666666665
2016-08,Lifestyle,-26.66824396553712,1371,148.8713725996226,5.316834735700807
2016-08,Notebooks & Journals,-118.73929450880948,2593,183.06757142857143,6.538127551020408
2016-08,Office,7.92218048354769,5860,80.52917241554742,2.7768680143292213
2016-09,Accessories,nan,17,41.900000000000006,4.19
2016-09,Apparel,0.6553449194171106,1804,749.0780714552803,24.969269048509343
2016-09,Bags,-2.0438605890601083,960,829.2595793650794,29.616413548752835
2016-09,Drinkware,-7.53868046413166,3833,303.1040158984806,10.10346719661602
2016-09,Electronics,-4.759060340788296,716,653.3284603174603,22.528567597153803
2016-09,Gift Cards,-0.642857142857143,15,262.5,37.5
2016-09,Headgear,-4.007078935704576,257,403.9947619047619,15.538260073260073
2016-09,Housewares,nan,59,18.5,2.3125
2016-09,Lifestyle,-188.57498714623233,1493,139.19412912087913,4.7997975558923835
2016-09,Notebooks & Journals,-73.2532263987918,2617,186.66884126984127,6.666744331065759
2016-09,Office,-35.96475910225195,5325,81.47577885144872,2.7158592950482907
2016-10,Accessories,nan,43,66.88,5.573333333333333
2016-10,Apparel,-2.7900822520408317,1288,891.6582754596902,28.76317017611904
2016-10,Bags,-14.413225627663815,841,851.758123015873,27.476068484383
2016-10,Drinkware,-6.263313361374599,4785,304.75203878457285,9.830710928534607
2016-10,Electronics,-3.0693519000908562,1393,548.8261888944389,20.32689588497922
2016-10,Gift Cards,2.3,17,358.33333333333337,71.66666666666667
2016-10,Housewares,nan,90,16.75,2.392857142857143
2016-10,Lifestyle,28.77298094638688,1887,111.08758694083694,3.8306064462357567
2016-10,Office,-306.1071980563082,8901,79.1526111334486,2.5533100365628583
2016-11,Accessories,nan,76,89.20333333333333,6.861794871794872
2016-11,Apparel,-1.1627011326413508,1677,806.3516292753643,26.878387642512145
2016-11,Bags,-2.5598178917048293,1304,851.4731746031746,28.382439153439154
2016-11,Drinkware,-6.9162516972704156,4144,307.7684997224997,10.25894999074999
